build_order,id,priority,category,system_name,formal_parent,governance_authority,engineering_state,core_function,dependency,implementation_path,evidence_state,blocker,next_work_order,acceptance_gate,external_action_authority,last_verified_at
13,P1-07,P1,Model,Locked Six-Layer Scoring Engine,CRT Master V1.9,FORMAL_MODEL_REFERENCE,CANDIDATE,Apply locked weights/thresholds without auto-reweight,P1-01|P1-02|P1-03|P1-04|P1-05|P1-06,src/crt_radar/candidate_engine.py|src/crt_radar/v110_candidate.py|CONFIG/V110_FORMAL_CANDIDATE_RUNTIME_V0.1.json,OFFLINE_COMPONENT_PASS,Exact candidate hash approval and required source/history coverage pending,WO-P1-07-CANDIDATE-REVIEW,Golden arithmetic provenance and blocked-path tests PASS,NONE,2026-08-17T07:15:00+08:00
14,P1-08,P1,State Router,BTC Season and A-B-C Path Router,CRT Master V1.9,FORMAL_FRAMEWORK_REFERENCE,CANDIDATE,Keep season fail-closed while exposing score-derived weather candidate,P1-07,src/crt_radar/v110_candidate.py|CONFIG/V110_FORMAL_CANDIDATE_RUNTIME_V0.1.json,OFFLINE_COMPONENT_PASS,V1.10 season transition contract not recovered; score cannot determine season,WO-P1-08-RECOVER-SPEC,Missing router semantics deterministically block season and external action,NONE,2026-08-17T07:15:00+08:00
15,P1-09,P1,Reporting,BTC Market Daily Radar,CRT Master V1.9,FORMAL_PRODUCT_INTENT,NOT_E2E,Answer season/weather/driver/action daily,P1-08,NONE,NOT_VERIFIED,Depends on P1-01 through P1-08,WO-P1-09,Same snapshots reproduce same report,NONE,2026-08-01T09:30:00+08:00
16,P2-01,P2,Asset MSTR,MSTR mNAV and Data Integrity Radar,CRT Master V1.9,FORMAL_SEMANTICS,PARTIAL_SPEC,Official BTC/share/dilution/capital events and valuation,P0-05|P1-09,src/crt_radar/e2e_bridge.py,NOT_VERIFIED,Diluted shares and dated evidence pipeline absent,WO-P2-01,Event invalidation and mNAV semantic tests PASS,NONE,2026-08-01T09:30:00+08:00
17,P2-02,P2,Asset STRC,STRC ETF Credit Dividend Discount Radar,CRT Master V1.9,FORMAL_STRATEGY_PLUS_CANDIDATE_DATA,PARTIAL_SPEC,Support STRC high-sell/rebuy with company/ETF/credit inputs,P1-09,NONE,NOT_VERIFIED,ETF/credit/dividend/event pipeline incomplete,WO-P2-02,Identity/date gate; score calibration; no single-signal trade,NONE,2026-08-01T09:30:00+08:00
18,P2-03,P2,Asset SATA,SATA Credit Dividend Discount Radar,CRT Master V1.9,CANDIDATE_NO_FORMAL_AUTHORITY,NOT_STARTED,Turn allocation need into validated buy readiness,P1-09,NONE,NOT_VERIFIED,Formal buy gates not approved,WO-P2-03,Credit/dividend/source gates and approved thresholds,NONE,2026-08-01T09:30:00+08:00
19,P2-04,P2,Asset ASST,ASST Balance Sheet Exposure Discount Radar,CRT Master V1.9,CANDIDATE_NO_FORMAL_AUTHORITY,NOT_STARTED,Verifiable ASST valuation and risk gate,P1-09,NONE,NOT_VERIFIED,Role and valuation data chain unresolved,WO-P2-04,Official ledger and discount calculation reproducible,NONE,2026-08-01T09:30:00+08:00
20,P2-05,P2,Portfolio,Allocation Cash Income Floor Radar,CRT Master V1.9,CANDIDATE_NO_FORMAL_AUTHORITY,MANUAL_ONLY,Track cash vs buying power/allocation gap/income buffer,P2-01|P2-02|P2-03|P2-04,NONE,NOT_VERIFIED,Broker portfolio feed unavailable,WO-P2-05,Ledger reconciles; tax/cost assumptions explicit,NONE,2026-08-01T09:30:00+08:00
21,P2-06,P2,Rotation,SATA-STRC Relay Radar,CRT Master V1.9,CANDIDATE_NO_FORMAL_AUTHORITY,SPEC_ONLY,Propose rotation only when scalable net improvement exists,P2-02|P2-03|P2-05,NONE,NOT_VERIFIED,Relay thresholds unapproved,WO-P2-06,Dual gate on net cash gain and annualized improvement,NONE,2026-08-01T09:30:00+08:00
22,P2-07,P2,Execution,Fire-Control Bid-Ask Cockpit,CRT Master V1.9,HUMAN_CONFIRMATION_REQUIRED,MANUAL_PROTOCOL_ONLY,State/limit candidate/cancel condition/user confirmation,P1-09|P2-05,NONE,NOT_VERIFIED,Execution-grade broker quote requires user input,WO-P2-07,No output without required live fields; no external execution,NONE,2026-08-01T09:30:00+08:00
23,P3-01,P3,Intelligence,Company Event and News Radar,CRT Master V1.9,FORMAL_INTENT,CANDIDATE,Only surface news that changes valuation/trigger/execution risk,P0-04,src/crt_radar/issuer_announcement_runner.py; CONFIG/ISSUER_ANNOUNCEMENT_REGISTRY_V1.json,LOCAL_VERIFIED_LIVE_BASELINE,NONE,WO-P3-01-REVIEW,Strategy and Strive SEC plus official press identity gates; first-run baseline; new-only wake; source outage disclosure; no action authority,NONE,2026-08-16T21:55:00+08:00
24,P3-02,P3,Research,Hypothesis Shadow Lab,CRT Master V1.9,CANDIDATE_NO_FORMAL_AUTHORITY,GOVERNANCE_SCAFFOLD_ONLY,Pre-register/replay/out-of-sample/live shadow/promote/reject,P0-05,NONE,NOT_VERIFIED,No scheduled shadow runner,WO-P3-02,No promotion without pre-event records and scorecard,NONE,2026-08-01T09:30:00+08:00
25,P3-03,P3,BTC Research,BMRB and BTCF Validation Harness,CRT Master V1.9,FORMAL_RESEARCH_MODULE_REFERENCE,SPEC_ONLY,Validate rebound weakness and bull confirmation claims,P3-02|P1-09,NONE,NOT_VERIFIED,Validation harness not implemented,WO-P3-03,Primary-data mapping and incremental-value review,NONE,2026-08-01T09:30:00+08:00
26,P3-04,P3,Asset ETH,ETH Side-Wing Radar,CRT Master V1.9,RESEARCH_ONLY,NOT_STARTED,ETH/BTC and bottom confirmation only after allocation approval,P3-02,NONE,NOT_VERIFIED,ETH allocation not formally active,WO-P3-04,No formal score before approval and recalibration,NONE,2026-08-01T09:30:00+08:00
27,P3-05,P3,Attention,Retail Attention Shadow Metric,CRT Master V1.9,RESEARCH_ONLY,NOT_STARTED,Test cold-attention bottom signal,P3-02,NONE,NOT_VERIFIED,Data source and predictive target not locked,WO-P3-05,"Stable source, pre-event log, incremental value",NONE,2026-08-01T09:30:00+08:00
28,P4-01,P4,Deployment,Scheduler CI Dependency Lock,CRT Master V1.9,CANDIDATE_UNMERGED,DEPLOYMENT_HARNESS_READY_LIVE_NOT_RUN,Daily reliable idempotent execution,P1-09|P2-07,deploy/; .github/workflows/offline-regression.yml,LOCAL_VERIFIED,GitHub/Codex and persistent host unavailable,WO-P4-01,CI tests; dry-run schedule; no duplicate runs,NONE,2026-08-01T09:30:00+08:00
29,P4-02,P4,Observability,SLA Run Monitor and 20-Run Review,CRT Master V1.9,FORMAL_POST_SEAL_INTENT,OFFLINE_COMPONENT_PASS,Latency/failure/data quality/maturity monitoring,P4-01,src/crt_radar/sla_review.py,LOCAL_VERIFIED,No real deployment runs accumulated,WO-P4-02,20 real runs with immutable metrics and review,NONE,2026-08-01T09:30:00+08:00
30,P4-03,P4,Notification,Alert Router,CRT Master V1.9,FORMAL_INTENT,NOT_STARTED,Separate fixed brief from conditional alerts,P4-02,NONE,NOT_VERIFIED,Notification policy not implemented,WO-P4-03,No spam; dedupe; severity and silence rules tested,NONE,2026-08-01T09:30:00+08:00
31,P4-04,P4,Interface,North-Star Dashboard,CRT Master V1.9,CANDIDATE_NO_FORMAL_AUTHORITY,NOT_STARTED,One-page market/assets/portfolio/evidence/blockers,P4-02,NONE,NOT_VERIFIED,Depends on stable evidence contracts,WO-P4-04,Read-only dashboard matches run ledger,NONE,2026-08-01T09:30:00+08:00
32,P4-05,P4,Acceptance,Daily End-to-End Acceptance and Candidate Pack,CRT Master V1.9,FORMAL_ACCEPTANCE_INTENT,NOT_STARTED,Data to score to season to assets to report reproducibility,P4-01|P4-02|P4-03|P4-04,NONE,NOT_VERIFIED,Full L1-L6 and asset chain incomplete,WO-P4-05,E2E scenarios PASS; hashes; rollback; no trade authority,NONE,2026-08-01T09:30:00+08:00
